system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
1_1_1_44_0,0.02005,0.01655,0.0564,0.0709,0.0499,0.061,0.0402,0.03985,0.03675,-0.15175995,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.5119681265808,32.96174797290498]}"
1_1_1_45_0,0.0616,0.0383,0.07,0.0905,0.0702,0.0881,0.0781,0.087,0.0865,0.10402037,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43327570769193,32.84424833374215]}"
1_1_1_46_0,0.1908,0.1278,0.0813,0.1044,0.0982,0.1369,0.2164,0.2406,0.2088,0.36026058,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43632997965793,32.85206367671399]}"
1_1_1_47_0,0.1604,0.1117,0.0824,0.1096,0.107,0.1357,0.1729,0.1811,0.1792,0.25227112,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43785711564094,32.847661931821804]}"
1_1_1_48_0,0.0486,0.0348,0.0785,0.0914,0.0676,0.0819,0.0642,0.0716,0.0705,0.020999309,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43884526245347,32.835534675486194]}"
1_1_1_49_0,0.2784,0.1868,0.0715,0.098,0.0921,0.1468,0.2435,0.2654,0.2732,0.49575692,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43453334908969,32.82592270194611]}"
1_1_1_50_0,0.0401,0.02785,0.04635,0.0606,0.04355,0.06095,0.0509,0.05365,0.0488,0.05684894,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.48789327696639,32.72620970540885]}"
1_1_1_51_0,0.0341,0.0261,0.047,0.0599,0.0454,0.0559,0.04775,0.0488,0.0481,0.028876977,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.4631896066531,32.700517888283024]}"
1_1_1_52_0,0.0323,0.0265,0.0456,0.0583,0.0477,0.0611,0.0487,0.0486,0.0504,0.027522946,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.50163750081342,32.765196588739634]}"
1_1_1_53_0,0.03835,0.02675,0.0515,0.0682,0.053,0.06375,0.04615,0.0481,0.0434,-0.09958505,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.4338146968624,32.66215982565112]}"
1_1_1_54_0,0.0637,0.0457,0.0727,0.1044,0.0819,0.1025,0.0911,0.0969,0.0849,0.017985603,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.35242733212117,32.62371193149081]}"
1_1_1_55_0,0.0437,0.0289,0.0658,0.1006,0.0708,0.1013,0.07025,0.07265,0.0599,-0.08339708,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.41539923353795,32.64401385691191]}"
1_1_1_56_0,0.0618,0.0456,0.0802,0.1028,0.0829,0.0963,0.0856,0.0908,0.0736,-0.059424926,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.36823768112167,32.60403882676859]}"
1_1_1_57_0,0.0934,0.06755,0.06215,0.07235,0.06015,0.08785,0.1152,0.12145,0.1121,0.3015965,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.40093635746362,32.583018249120194]}"
1_1_1_58_0,0.03005,0.0204,0.0678,0.09085,0.0682,0.0755,0.0499,0.05095,0.0498,-0.15593219,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.33814411910367,32.52381927189672]}"
1_1_1_59_0,0.0385,0.026,0.074,0.0954,0.0731,0.091,0.07,0.0667,0.0547,-0.14397497,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.33508984713767,32.51636325503853]}"
1_1_1_60_0,0.0669,0.0454,0.0725,0.092,0.0743,0.0907,0.0895,0.0974,0.0937,0.1154762,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.33212540670007,32.47989165450327]}"
1_1_1_61_0,0.03765,0.02705,0.06725,0.0866,0.07105,0.08145,0.0655,0.0702,0.0687,-0.01681576,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.32835248250677,32.46650675676989]}"
